parname parval1 parubnd parlbnd
adjmix_rain:hru_7157:mon_2 1.0 1.4 0.6
adjmix_rain:hru_5621:mon_3 1.0 1.4 0.6
adjmix_rain:hru_5625:mon_3 1.0 1.4 0.6
adjmix_rain:hru_5628:mon_3 1.0 1.4 0.6
adjmix_rain:hru_5635:mon_3 1.0 1.4 0.6
adjmix_rain:hru_5637:mon_3 1.0 1.4 0.6
adjmix_rain:hru_5643:mon_3 1.0 1.4 0.6
adjmix_rain:hru_5678:mon_3 1.0 1.4 0.6
adjmix_rain:hru_5679:mon_3 1.0 1.4 0.6
adjmix_rain:hru_5686:mon_3 1.0 1.4 0.6
adjmix_rain:hru_5690:mon_3 1.0 1.4 0.6
adjmix_rain:hru_5693:mon_3 1.0 1.4 0.6
adjmix_rain:hru_5697:mon_3 1.0 1.4 0.6
adjmix_rain:hru_5703:mon_3 1.0 1.4 0.6
adjmix_rain:hru_5728:mon_3 1.0 1.4 0.6
adjmix_rain:hru_7128:mon_3 1.0 1.4 0.6
adjmix_rain:hru_7156:mon_3 1.0 1.4 0.6
adjmix_rain:hru_7157:mon_3 1.0 1.4 0.6
adjmix_rain:hru_5621:mon_4 1.0 1.4 0.6
adjmix_rain:hru_5625:mon_4 1.0 1.4 0.6
adjmix_rain:hru_5628:mon_4 1.0 1.4 0.6
adjmix_rain:hru_5635:mon_4 1.0 1.4 0.6
adjmix_rain:hru_5637:mon_4 1.0 1.4 0.6
adjmix_rain:hru_5643:mon_4 1.0 1.4 0.6
adjmix_rain:hru_5678:mon_4 1.0 1.4 0.6
adjmix_rain:hru_5679:mon_4 1.0 1.4 0.6
adjmix_rain:hru_5686:mon_4 1.0 1.4 0.6
adjmix_rain:hru_5690:mon_4 1.0 1.4 0.6
adjmix_rain:hru_5693:mon_4 1.0 1.4 0.6
adjmix_rain:hru_5697:mon_4 1.0 1.4 0.6
adjmix_rain:hru_5703:mon_4 1.0 1.4 0.6
adjmix_rain:hru_5728:mon_4 1.0 1.4 0.6
adjmix_rain:hru_7128:mon_4 1.0 1.4 0.6
adjmix_rain:hru_7156:mon_4 1.0 1.4 0.6
adjmix_rain:hru_7157:mon_4 1.0 1.4 0.6
adjmix_rain:hru_5621:mon_5 1.0 1.4 0.6
adjmix_rain:hru_5625:mon_5 1.0 1.4 0.6
adjmix_rain:hru_5628:mon_5 1.0 1.4 0.6
adjmix_rain:hru_5635:mon_5 1.0 1.4 0.6
adjmix_rain:hru_5637:mon_5 1.0 1.4 0.6
adjmix_rain:hru_5643:mon_5 1.0 1.4 0.6
adjmix_rain:hru_5678:mon_5 1.0 1.4 0.6
adjmix_rain:hru_5679:mon_5 1.0 1.4 0.6
adjmix_rain:hru_5686:mon_5 1.0 1.4 0.6
adjmix_rain:hru_5690:mon_5 1.0 1.4 0.6
adjmix_rain:hru_5693:mon_5 1.0 1.4 0.6
adjmix_rain:hru_5697:mon_5 1.0 1.4 0.6
adjmix_rain:hru_5703:mon_5 1.0 1.4 0.6
adjmix_rain:hru_5728:mon_5 1.0 1.4 0.6
adjmix_rain:hru_7128:mon_5 1.0 1.4 0.6
adjmix_rain:hru_7156:mon_5 1.0 1.4 0.6
adjmix_rain:hru_7157:mon_5 1.0 1.4 0.6
adjmix_rain:hru_5621:mon_6 1.0 1.4 0.6
adjmix_rain:hru_5625:mon_6 1.0 1.4 0.6
adjmix_rain:hru_5628:mon_6 1.0 1.4 0.6
adjmix_rain:hru_5635:mon_6 1.0 1.4 0.6
adjmix_rain:hru_5637:mon_6 1.0 1.4 0.6
adjmix_rain:hru_5643:mon_6 1.0 1.4 0.6
adjmix_rain:hru_5678:mon_6 1.0 1.4 0.6
adjmix_rain:hru_5679:mon_6 1.0 1.4 0.6
adjmix_rain:hru_5686:mon_6 1.0 1.4 0.6
adjmix_rain:hru_5690:mon_6 1.0 1.4 0.6
adjmix_rain:hru_5693:mon_6 1.0 1.4 0.6
adjmix_rain:hru_5697:mon_6 1.0 1.4 0.6
adjmix_rain:hru_5703:mon_6 1.0 1.4 0.6
adjmix_rain:hru_5728:mon_6 1.0 1.4 0.6
adjmix_rain:hru_7128:mon_6 1.0 1.4 0.6
adjmix_rain:hru_7156:mon_6 1.0 1.4 0.6
adjmix_rain:hru_7157:mon_6 1.0 1.4 0.6
adjmix_rain:hru_5621:mon_7 1.0 1.4 0.6
adjmix_rain:hru_5625:mon_7 1.0 1.4 0.6
adjmix_rain:hru_5628:mon_7 1.0 1.4 0.6
adjmix_rain:hru_5635:mon_7 1.0 1.4 0.6
adjmix_rain:hru_5637:mon_7 1.0 1.4 0.6
adjmix_rain:hru_5643:mon_7 1.0 1.4 0.6
adjmix_rain:hru_5678:mon_7 1.0 1.4 0.6
adjmix_rain:hru_5679:mon_7 1.0 1.4 0.6
adjmix_rain:hru_5686:mon_7 1.0 1.4 0.6
adjmix_rain:hru_5690:mon_7 1.0 1.4 0.6
adjmix_rain:hru_5693:mon_7 1.0 1.4 0.6
adjmix_rain:hru_5697:mon_7 1.0 1.4 0.6
adjmix_rain:hru_5703:mon_7 1.0 1.4 0.6
adjmix_rain:hru_5728:mon_7 1.0 1.4 0.6
adjmix_rain:hru_7128:mon_7 1.0 1.4 0.6
adjmix_rain:hru_7156:mon_7 1.0 1.4 0.6
adjmix_rain:hru_7157:mon_7 1.0 1.4 0.6
adjmix_rain:hru_5621:mon_8 1.0 1.4 0.6
adjmix_rain:hru_5625:mon_8 1.0 1.4 0.6
adjmix_rain:hru_5628:mon_8 1.0 1.4 0.6
adjmix_rain:hru_5635:mon_8 1.0 1.4 0.6
adjmix_rain:hru_5637:mon_8 1.0 1.4 0.6
adjmix_rain:hru_5643:mon_8 1.0 1.4 0.6
adjmix_rain:hru_5678:mon_8 1.0 1.4 0.6
adjmix_rain:hru_5679:mon_8 1.0 1.4 0.6
adjmix_rain:hru_5686:mon_8 1.0 1.4 0.6
adjmix_rain:hru_5690:mon_8 1.0 1.4 0.6
adjmix_rain:hru_5693:mon_8 1.0 1.4 0.6
adjmix_rain:hru_5697:mon_8 1.0 1.4 0.6
adjmix_rain:hru_5703:mon_8 1.0 1.4 0.6
adjmix_rain:hru_5728:mon_8 1.0 1.4 0.6
adjmix_rain:hru_7128:mon_8 1.0 1.4 0.6
adjmix_rain:hru_7156:mon_8 1.0 1.4 0.6
adjmix_rain:hru_7157:mon_8 1.0 1.4 0.6
adjmix_rain:hru_5621:mon_9 1.0 1.4 0.6
adjmix_rain:hru_5625:mon_9 1.0 1.4 0.6
adjmix_rain:hru_5628:mon_9 1.0 1.4 0.6
adjmix_rain:hru_5635:mon_9 1.0 1.4 0.6
adjmix_rain:hru_5637:mon_9 1.0 1.4 0.6
adjmix_rain:hru_5643:mon_9 1.0 1.4 0.6
adjmix_rain:hru_5678:mon_9 1.0 1.4 0.6
adjmix_rain:hru_5679:mon_9 1.0 1.4 0.6
adjmix_rain:hru_5686:mon_9 1.0 1.4 0.6
adjmix_rain:hru_5690:mon_9 1.0 1.4 0.6
adjmix_rain:hru_5693:mon_9 1.0 1.4 0.6
adjmix_rain:hru_5697:mon_9 1.0 1.4 0.6
adjmix_rain:hru_5703:mon_9 1.0 1.4 0.6
adjmix_rain:hru_5728:mon_9 1.0 1.4 0.6
adjmix_rain:hru_7128:mon_9 1.0 1.4 0.6
adjmix_rain:hru_7156:mon_9 1.0 1.4 0.6
adjmix_rain:hru_7157:mon_9 1.0 1.4 0.6
adjmix_rain:hru_5621:mon_10 1.0 1.4 0.6
adjmix_rain:hru_5625:mon_10 1.0 1.4 0.6
adjmix_rain:hru_5628:mon_10 1.0 1.4 0.6
adjmix_rain:hru_5635:mon_10 1.0 1.4 0.6
adjmix_rain:hru_5637:mon_10 1.0 1.4 0.6
adjmix_rain:hru_5643:mon_10 1.0 1.4 0.6
adjmix_rain:hru_5678:mon_10 1.0 1.4 0.6
adjmix_rain:hru_5679:mon_10 1.0 1.4 0.6
adjmix_rain:hru_5686:mon_10 1.0 1.4 0.6
adjmix_rain:hru_5690:mon_10 1.0 1.4 0.6
adjmix_rain:hru_5693:mon_10 1.0 1.4 0.6
adjmix_rain:hru_5697:mon_10 1.0 1.4 0.6
adjmix_rain:hru_5703:mon_10 1.0 1.4 0.6
adjmix_rain:hru_5728:mon_10 1.0 1.4 0.6
adjmix_rain:hru_7128:mon_10 1.0 1.4 0.6
adjmix_rain:hru_7156:mon_10 1.0 1.4 0.6
adjmix_rain:hru_7157:mon_10 1.0 1.4 0.6
adjmix_rain:hru_5621:mon_11 1.0 1.4 0.6
adjmix_rain:hru_5625:mon_11 1.0 1.4 0.6
adjmix_rain:hru_5628:mon_11 1.0 1.4 0.6
adjmix_rain:hru_5635:mon_11 1.0 1.4 0.6
adjmix_rain:hru_5637:mon_11 1.0 1.4 0.6
adjmix_rain:hru_5643:mon_11 1.0 1.4 0.6
adjmix_rain:hru_5678:mon_11 1.0 1.4 0.6
adjmix_rain:hru_5679:mon_11 1.0 1.4 0.6
adjmix_rain:hru_5686:mon_11 1.0 1.4 0.6
adjmix_rain:hru_5690:mon_11 1.0 1.4 0.6
adjmix_rain:hru_5693:mon_11 1.0 1.4 0.6
adjmix_rain:hru_5697:mon_11 1.0 1.4 0.6
adjmix_rain:hru_5703:mon_11 1.0 1.4 0.6
adjmix_rain:hru_5728:mon_11 1.0 1.4 0.6
adjmix_rain:hru_7128:mon_11 1.0 1.4 0.6
adjmix_rain:hru_7156:mon_11 1.0 1.4 0.6
adjmix_rain:hru_7157:mon_11 1.0 1.4 0.6
adjmix_rain:hru_5621:mon_12 1.0 1.4 0.6
adjmix_rain:hru_5625:mon_12 1.0 1.4 0.6
adjmix_rain:hru_5628:mon_12 1.0 1.4 0.6
adjmix_rain:hru_5635:mon_12 1.0 1.4 0.6
adjmix_rain:hru_5637:mon_12 1.0 1.4 0.6
adjmix_rain:hru_5643:mon_12 1.0 1.4 0.6
adjmix_rain:hru_5678:mon_12 1.0 1.4 0.6
adjmix_rain:hru_5679:mon_12 1.0 1.4 0.6
adjmix_rain:hru_5686:mon_12 1.0 1.4 0.6
adjmix_rain:hru_5690:mon_12 1.0 1.4 0.6
adjmix_rain:hru_5693:mon_12 1.0 1.4 0.6
adjmix_rain:hru_5697:mon_12 1.0 1.4 0.6
adjmix_rain:hru_5703:mon_12 1.0 1.4 0.6
adjmix_rain:hru_5728:mon_12 1.0 1.4 0.6
adjmix_rain:hru_7128:mon_12 1.0 1.4 0.6
adjmix_rain:hru_7156:mon_12 1.0 1.4 0.6
adjmix_rain:hru_7157:mon_12 1.0 1.4 0.6
carea_max:hru_5621 0.304801 0.3657612 0.2438408
carea_max:hru_5625 0.372913 0.4474956 0.2983304
carea_max:hru_5628 0.2981 0.35772 0.23847999999999997
carea_max:hru_5635 0.301947 0.3623364 0.2415576
carea_max:hru_5637 0.285751 0.34290119999999996 0.2286008
carea_max:hru_5643 0.419332 0.5031984 0.3354656
carea_max:hru_5678 0.403709 0.48445079999999996 0.3229672
carea_max:hru_5679 0.475465 0.570558 0.38037200000000004
carea_max:hru_5686 0.43131 0.517572 0.345048
carea_max:hru_5690 0.624702 0.7496423999999999 0.4997616
carea_max:hru_5693 0.443386 0.5320632000000001 0.3547088
carea_max:hru_5697 0.440675 0.52881 0.35253999999999996
carea_max:hru_5703 0.492815 0.591378 0.394252
carea_max:hru_5728 0.482773 0.5793276 0.3862184
carea_max:hru_7128 0.514671 0.6176052 0.4117368
carea_max:hru_7156 0.373922 0.44870639999999995 0.2991376
carea_max:hru_7157 0.337974 0.4055688 0.2703792
cecn_coef:hru_5621:mon_1 5.000000000000001 5.5 4.5
cecn_coef:hru_5625:mon_1 5.000000000000001 5.5 4.5
cecn_coef:hru_5628:mon_1 5.000000000000001 5.5 4.5
cecn_coef:hru_5635:mon_1 5.000000000000001 5.5 4.5
cecn_coef:hru_5637:mon_1 5.000000000000001 5.5 4.5
cecn_coef:hru_5643:mon_1 5.000000000000001 5.5 4.5
cecn_coef:hru_5678:mon_1 5.000000000000001 5.5 4.5
cecn_coef:hru_5679:mon_1 5.000000000000001 5.5 4.5
cecn_coef:hru_5686:mon_1 5.000000000000001 5.5 4.5
cecn_coef:hru_5690:mon_1 5.000000000000001 5.5 4.5
cecn_coef:hru_5693:mon_1 5.000000000000001 5.5 4.5
cecn_coef:hru_5697:mon_1 5.000000000000001 5.5 4.5
cecn_coef:hru_5703:mon_1 5.000000000000001 5.5 4.5
cecn_coef:hru_5728:mon_1 5.000000000000001 5.5 4.5
cecn_coef:hru_7128:mon_1 5.000000000000001 5.5 4.5
cecn_coef:hru_7156:mon_1 5.000000000000001 5.5 4.5
cecn_coef:hru_7157:mon_1 5.000000000000001 5.5 4.5
cecn_coef:hru_5621:mon_2 5.000000000000001 5.5 4.5
cecn_coef:hru_5625:mon_2 5.000000000000001 5.5 4.5
cecn_coef:hru_5628:mon_2 5.000000000000001 5.5 4.5
cecn_coef:hru_5635:mon_2 5.000000000000001 5.5 4.5
cecn_coef:hru_5637:mon_2 5.000000000000001 5.5 4.5
cecn_coef:hru_5643:mon_2 5.000000000000001 5.5 4.5
cecn_coef:hru_5678:mon_2 5.000000000000001 5.5 4.5
cecn_coef:hru_5679:mon_2 5.000000000000001 5.5 4.5
cecn_coef:hru_5686:mon_2 5.000000000000001 5.5 4.5
cecn_coef:hru_5690:mon_2 5.000000000000001 5.5 4.5
cecn_coef:hru_5693:mon_2 5.000000000000001 5.5 4.5
cecn_coef:hru_5697:mon_2 5.000000000000001 5.5 4.5
cecn_coef:hru_5703:mon_2 5.000000000000001 5.5 4.5
cecn_coef:hru_5728:mon_2 5.000000000000001 5.5 4.5
cecn_coef:hru_7128:mon_2 5.000000000000001 5.5 4.5
cecn_coef:hru_7156:mon_2 5.000000000000001 5.5 4.5
cecn_coef:hru_7157:mon_2 5.000000000000001 5.5 4.5
cecn_coef:hru_5621:mon_3 5.000000000000001 5.5 4.5
cecn_coef:hru_5625:mon_3 5.000000000000001 5.5 4.5
cecn_coef:hru_5628:mon_3 5.000000000000001 5.5 4.5
cecn_coef:hru_5635:mon_3 5.000000000000001 5.5 4.5
cecn_coef:hru_5637:mon_3 5.000000000000001 5.5 4.5
cecn_coef:hru_5643:mon_3 5.000000000000001 5.5 4.5
cecn_coef:hru_5678:mon_3 5.000000000000001 5.5 4.5
cecn_coef:hru_5679:mon_3 5.000000000000001 5.5 4.5
cecn_coef:hru_5686:mon_3 5.000000000000001 5.5 4.5
cecn_coef:hru_5690:mon_3 5.000000000000001 5.5 4.5
cecn_coef:hru_5693:mon_3 5.000000000000001 5.5 4.5
cecn_coef:hru_5697:mon_3 5.000000000000001 5.5 4.5
cecn_coef:hru_5703:mon_3 5.000000000000001 5.5 4.5
cecn_coef:hru_5728:mon_3 5.000000000000001 5.5 4.5
cecn_coef:hru_7128:mon_3 5.000000000000001 5.5 4.5
cecn_coef:hru_7156:mon_3 5.000000000000001 5.5 4.5
cecn_coef:hru_7157:mon_3 5.000000000000001 5.5 4.5
cecn_coef:hru_5621:mon_4 5.000000000000001 5.5 4.5
cecn_coef:hru_5625:mon_4 5.000000000000001 5.5 4.5
cecn_coef:hru_5628:mon_4 5.000000000000001 5.5 4.5
cecn_coef:hru_5635:mon_4 5.000000000000001 5.5 4.5
cecn_coef:hru_5637:mon_4 5.000000000000001 5.5 4.5
cecn_coef:hru_5643:mon_4 5.000000000000001 5.5 4.5
cecn_coef:hru_5678:mon_4 5.000000000000001 5.5 4.5
cecn_coef:hru_5679:mon_4 5.000000000000001 5.5 4.5
cecn_coef:hru_5686:mon_4 5.000000000000001 5.5 4.5
cecn_coef:hru_5690:mon_4 5.000000000000001 5.5 4.5
cecn_coef:hru_5693:mon_4 5.000000000000001 5.5 4.5
cecn_coef:hru_5697:mon_4 5.000000000000001 5.5 4.5
cecn_coef:hru_5703:mon_4 5.000000000000001 5.5 4.5
cecn_coef:hru_5728:mon_4 5.000000000000001 5.5 4.5
cecn_coef:hru_7128:mon_4 5.000000000000001 5.5 4.5
cecn_coef:hru_7156:mon_4 5.000000000000001 5.5 4.5
cecn_coef:hru_7157:mon_4 5.000000000000001 5.5 4.5
cecn_coef:hru_5621:mon_5 5.000000000000001 5.5 4.5
cecn_coef:hru_5625:mon_5 5.000000000000001 5.5 4.5
cecn_coef:hru_5628:mon_5 5.000000000000001 5.5 4.5
cecn_coef:hru_5635:mon_5 5.000000000000001 5.5 4.5
cecn_coef:hru_5637:mon_5 5.000000000000001 5.5 4.5
cecn_coef:hru_5643:mon_5 5.000000000000001 5.5 4.5
cecn_coef:hru_5678:mon_5 5.000000000000001 5.5 4.5
cecn_coef:hru_5679:mon_5 5.000000000000001 5.5 4.5
cecn_coef:hru_5686:mon_5 5.000000000000001 5.5 4.5
cecn_coef:hru_5690:mon_5 5.000000000000001 5.5 4.5
cecn_coef:hru_5693:mon_5 5.000000000000001 5.5 4.5
cecn_coef:hru_5697:mon_5 5.000000000000001 5.5 4.5
cecn_coef:hru_5703:mon_5 5.000000000000001 5.5 4.5
cecn_coef:hru_5728:mon_5 5.000000000000001 5.5 4.5
cecn_coef:hru_7128:mon_5 5.000000000000001 5.5 4.5
cecn_coef:hru_7156:mon_5 5.000000000000001 5.5 4.5
cecn_coef:hru_7157:mon_5 5.000000000000001 5.5 4.5
cecn_coef:hru_5621:mon_6 5.000000000000001 5.5 4.5
cecn_coef:hru_5625:mon_6 5.000000000000001 5.5 4.5
cecn_coef:hru_5628:mon_6 5.000000000000001 5.5 4.5
cecn_coef:hru_5635:mon_6 5.000000000000001 5.5 4.5
cecn_coef:hru_5637:mon_6 5.000000000000001 5.5 4.5
cecn_coef:hru_5643:mon_6 5.000000000000001 5.5 4.5
cecn_coef:hru_5678:mon_6 5.000000000000001 5.5 4.5
cecn_coef:hru_5679:mon_6 5.000000000000001 5.5 4.5
cecn_coef:hru_5686:mon_6 5.000000000000001 5.5 4.5
cecn_coef:hru_5690:mon_6 5.000000000000001 5.5 4.5
cecn_coef:hru_5693:mon_6 5.000000000000001 5.5 4.5
cecn_coef:hru_5697:mon_6 5.000000000000001 5.5 4.5
cecn_coef:hru_5703:mon_6 5.000000000000001 5.5 4.5
cecn_coef:hru_5728:mon_6 5.000000000000001 5.5 4.5
cecn_coef:hru_7128:mon_6 5.000000000000001 5.5 4.5
cecn_coef:hru_7156:mon_6 5.000000000000001 5.5 4.5
cecn_coef:hru_7157:mon_6 5.000000000000001 5.5 4.5
cecn_coef:hru_5621:mon_7 5.000000000000001 5.5 4.5
cecn_coef:hru_5625:mon_7 5.000000000000001 5.5 4.5
cecn_coef:hru_5628:mon_7 5.000000000000001 5.5 4.5
cecn_coef:hru_5635:mon_7 5.000000000000001 5.5 4.5
cecn_coef:hru_5637:mon_7 5.000000000000001 5.5 4.5
cecn_coef:hru_5643:mon_7 5.000000000000001 5.5 4.5
cecn_coef:hru_5678:mon_7 5.000000000000001 5.5 4.5
cecn_coef:hru_5679:mon_7 5.000000000000001 5.5 4.5
cecn_coef:hru_5686:mon_7 5.000000000000001 5.5 4.5
cecn_coef:hru_5690:mon_7 5.000000000000001 5.5 4.5
cecn_coef:hru_5693:mon_7 5.000000000000001 5.5 4.5
cecn_coef:hru_5697:mon_7 5.000000000000001 5.5 4.5
cecn_coef:hru_5703:mon_7 5.000000000000001 5.5 4.5
cecn_coef:hru_5728:mon_7 5.000000000000001 5.5 4.5
cecn_coef:hru_7128:mon_7 5.000000000000001 5.5 4.5
cecn_coef:hru_7156:mon_7 5.000000000000001 5.5 4.5
cecn_coef:hru_7157:mon_7 5.000000000000001 5.5 4.5
cecn_coef:hru_5621:mon_8 5.000000000000001 5.5 4.5
cecn_coef:hru_5625:mon_8 5.000000000000001 5.5 4.5
cecn_coef:hru_5628:mon_8 5.000000000000001 5.5 4.5
cecn_coef:hru_5635:mon_8 5.000000000000001 5.5 4.5
cecn_coef:hru_5637:mon_8 5.000000000000001 5.5 4.5
cecn_coef:hru_5643:mon_8 5.000000000000001 5.5 4.5
cecn_coef:hru_5678:mon_8 5.000000000000001 5.5 4.5
cecn_coef:hru_5679:mon_8 5.000000000000001 5.5 4.5
cecn_coef:hru_5686:mon_8 5.000000000000001 5.5 4.5
cecn_coef:hru_5690:mon_8 5.000000000000001 5.5 4.5
cecn_coef:hru_5693:mon_8 5.000000000000001 5.5 4.5
cecn_coef:hru_5697:mon_8 5.000000000000001 5.5 4.5
cecn_coef:hru_5703:mon_8 5.000000000000001 5.5 4.5
cecn_coef:hru_5728:mon_8 5.000000000000001 5.5 4.5
cecn_coef:hru_7128:mon_8 5.000000000000001 5.5 4.5
cecn_coef:hru_7156:mon_8 5.000000000000001 5.5 4.5
cecn_coef:hru_7157:mon_8 5.000000000000001 5.5 4.5
cecn_coef:hru_5621:mon_9 5.000000000000001 5.5 4.5
cecn_coef:hru_5625:mon_9 5.000000000000001 5.5 4.5
cecn_coef:hru_5628:mon_9 5.000000000000001 5.5 4.5
cecn_coef:hru_5635:mon_9 5.000000000000001 5.5 4.5
cecn_coef:hru_5637:mon_9 5.000000000000001 5.5 4.5
cecn_coef:hru_5643:mon_9 5.000000000000001 5.5 4.5
cecn_coef:hru_5678:mon_9 5.000000000000001 5.5 4.5
cecn_coef:hru_5679:mon_9 5.000000000000001 5.5 4.5
cecn_coef:hru_5686:mon_9 5.000000000000001 5.5 4.5
cecn_coef:hru_5690:mon_9 5.000000000000001 5.5 4.5
cecn_coef:hru_5693:mon_9 5.000000000000001 5.5 4.5
cecn_coef:hru_5697:mon_9 5.000000000000001 5.5 4.5
cecn_coef:hru_5703:mon_9 5.000000000000001 5.5 4.5
cecn_coef:hru_5728:mon_9 5.000000000000001 5.5 4.5
cecn_coef:hru_7128:mon_9 5.000000000000001 5.5 4.5
cecn_coef:hru_7156:mon_9 5.000000000000001 5.5 4.5
cecn_coef:hru_7157:mon_9 5.000000000000001 5.5 4.5
cecn_coef:hru_5621:mon_10 5.000000000000001 5.5 4.5
cecn_coef:hru_5625:mon_10 5.000000000000001 5.5 4.5
cecn_coef:hru_5628:mon_10 5.000000000000001 5.5 4.5
cecn_coef:hru_5635:mon_10 5.000000000000001 5.5 4.5
cecn_coef:hru_5637:mon_10 5.000000000000001 5.5 4.5
cecn_coef:hru_5643:mon_10 5.000000000000001 5.5 4.5
cecn_coef:hru_5678:mon_10 5.000000000000001 5.5 4.5
cecn_coef:hru_5679:mon_10 5.000000000000001 5.5 4.5
cecn_coef:hru_5686:mon_10 5.000000000000001 5.5 4.5
cecn_coef:hru_5690:mon_10 5.000000000000001 5.5 4.5
cecn_coef:hru_5693:mon_10 5.000000000000001 5.5 4.5
cecn_coef:hru_5697:mon_10 5.000000000000001 5.5 4.5
cecn_coef:hru_5703:mon_10 5.000000000000001 5.5 4.5
cecn_coef:hru_5728:mon_10 5.000000000000001 5.5 4.5
cecn_coef:hru_7128:mon_10 5.000000000000001 5.5 4.5
cecn_coef:hru_7156:mon_10 5.000000000000001 5.5 4.5
cecn_coef:hru_7157:mon_10 5.000000000000001 5.5 4.5
cecn_coef:hru_5621:mon_11 5.000000000000001 5.5 4.5
cecn_coef:hru_5625:mon_11 5.000000000000001 5.5 4.5
cecn_coef:hru_5628:mon_11 5.000000000000001 5.5 4.5
cecn_coef:hru_5635:mon_11 5.000000000000001 5.5 4.5
cecn_coef:hru_5637:mon_11 5.000000000000001 5.5 4.5
cecn_coef:hru_5643:mon_11 5.000000000000001 5.5 4.5
cecn_coef:hru_5678:mon_11 5.000000000000001 5.5 4.5
cecn_coef:hru_5679:mon_11 5.000000000000001 5.5 4.5
cecn_coef:hru_5686:mon_11 5.000000000000001 5.5 4.5
cecn_coef:hru_5690:mon_11 5.000000000000001 5.5 4.5
cecn_coef:hru_5693:mon_11 5.000000000000001 5.5 4.5
cecn_coef:hru_5697:mon_11 5.000000000000001 5.5 4.5
cecn_coef:hru_5703:mon_11 5.000000000000001 5.5 4.5
cecn_coef:hru_5728:mon_11 5.000000000000001 5.5 4.5
cecn_coef:hru_7128:mon_11 5.000000000000001 5.5 4.5
cecn_coef:hru_7156:mon_11 5.000000000000001 5.5 4.5
cecn_coef:hru_7157:mon_11 5.000000000000001 5.5 4.5
cecn_coef:hru_5621:mon_12 5.000000000000001 5.5 4.5
cecn_coef:hru_5625:mon_12 5.000000000000001 5.5 4.5
cecn_coef:hru_5628:mon_12 5.000000000000001 5.5 4.5
cecn_coef:hru_5635:mon_12 5.000000000000001 5.5 4.5
cecn_coef:hru_5637:mon_12 5.000000000000001 5.5 4.5
cecn_coef:hru_5643:mon_12 5.000000000000001 5.5 4.5
cecn_coef:hru_5678:mon_12 5.000000000000001 5.5 4.5
cecn_coef:hru_5679:mon_12 5.000000000000001 5.5 4.5
cecn_coef:hru_5686:mon_12 5.000000000000001 5.5 4.5
cecn_coef:hru_5690:mon_12 5.000000000000001 5.5 4.5
cecn_coef:hru_5693:mon_12 5.000000000000001 5.5 4.5
cecn_coef:hru_5697:mon_12 5.000000000000001 5.5 4.5
cecn_coef:hru_5703:mon_12 5.000000000000001 5.5 4.5
cecn_coef:hru_5728:mon_12 5.000000000000001 5.5 4.5
cecn_coef:hru_7128:mon_12 5.000000000000001 5.5 4.5
cecn_coef:hru_7156:mon_12 5.000000000000001 5.5 4.5
cecn_coef:hru_7157:mon_12 5.000000000000001 5.5 4.5
emis_noppt:hru_5621 0.757 1.0 0.757
emis_noppt:hru_5625 0.757 1.0 0.757
emis_noppt:hru_5628 0.757 1.0 0.757
emis_noppt:hru_5635 0.757 1.0 0.757
emis_noppt:hru_5637 0.757 1.0 0.757
emis_noppt:hru_5643 0.757 1.0 0.757
emis_noppt:hru_5678 0.757 1.0 0.757
emis_noppt:hru_5679 0.757 1.0 0.757
